
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:1031         127.0.0.1:5939         ESTABLISHED
  TCP    127.0.0.1:1033         127.0.0.1:1034         ESTABLISHED
  TCP    127.0.0.1:1034         127.0.0.1:1033         ESTABLISHED
  TCP    127.0.0.1:5939         127.0.0.1:1031         ESTABLISHED
  TCP    192.168.1.101:1028     92.51.156.90:5938      ESTABLISHED
  TCP    192.168.1.101:1041     54.223.247.29:80       CLOSE_WAIT
  TCP    192.168.1.101:1042     120.92.93.59:80        CLOSE_WAIT
  TCP    192.168.1.101:1045     112.90.92.1:80         CLOSE_WAIT
  TCP    192.168.1.101:1807     219.76.4.11:443        ESTABLISHED
  TCP    192.168.1.101:1864     121.51.141.73:8080     CLOSE_WAIT
  TCP    192.168.1.101:1865     112.90.149.66:80       CLOSE_WAIT
  TCP    192.168.1.101:1970     219.76.4.9:443         ESTABLISHED
  TCP    192.168.1.101:1972     219.76.4.9:443         ESTABLISHED
  TCP    192.168.1.101:1973     219.76.4.9:443         ESTABLISHED
  TCP    192.168.1.101:1978     151.101.72.133:443     ESTABLISHED
  TCP    192.168.1.101:1981     151.101.72.133:443     ESTABLISHED
  TCP    192.168.1.101:1988     192.30.253.125:443     ESTABLISHED
  TCP    192.168.1.101:2038     163.177.151.76:80      FIN_WAIT_1
  TCP    192.168.1.101:2039     163.177.151.76:80      FIN_WAIT_1
  TCP    192.168.1.101:2040     163.177.151.76:80      FIN_WAIT_1
  TCP    192.168.1.101:2041     163.177.151.76:80      FIN_WAIT_1
  TCP    192.168.1.101:2042     163.177.8.49:80        TIME_WAIT
  TCP    192.168.1.101:2043     163.177.8.49:80        TIME_WAIT
  TCP    192.168.1.101:2044     163.177.8.49:80        TIME_WAIT
  TCP    192.168.1.101:2045     163.177.8.40:80        TIME_WAIT
  TCP    192.168.1.101:2046     163.177.8.40:80        TIME_WAIT
  TCP    192.168.1.101:2047     163.177.8.40:80        TIME_WAIT
  TCP    192.168.1.101:2048     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2049     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2050     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2051     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2052     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2053     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2054     163.177.8.48:80        TIME_WAIT
  TCP    192.168.1.101:2055     163.177.8.48:80        TIME_WAIT
